"0032";"0001";"-1";"1";"Phone configuration";"Core Feature Configuration Table";"Off"
"0032";"0001";"00";"0";"Menu: Time and Date > Autoupdate Menu";"ON";"Off"
"0032";"0001";"00";"1";"Menu: Time and Date > Date Setting Option";"ON";"Off"
"0032";"0001";"00";"2";"Menu: Settings > Initial Setup > Auto Redial";"ON";"Off"
"0032";"0001";"00";"6";"Menu: Phone Status > Other Information";"ON";"Off"
"0032";"0001";"00";"7";"Menu: Phone Status > Other Information > S/W Version, DSP S/W Version, Language List";"ON";"Off"
"0032";"0001";"01";"0";"Menu: Phone Status > Other Information > PRL Version";"ON";"Off"
"0032";"0001";"01";"1";"Menu: Phone Status > Other Information > Data Ready";"ON";"Off"
"0032";"0001";"01";"2";"Menu: Phone Status > Other Information > TrueSync Ready";"ON";"Off"
"0032";"0001";"01";"3";"Menu: Phone Status > Other Information > Browser Ready";"ON";"Off"
"0032";"0001";"02";"1";"Menu: Call Barring, Call Transfer, My Networks, Info Services, Manual Network Search";"Off";"ON"
"0032";"0001";"02";"4";"^@ and _@ VM Indicator SMS Msgs";"Off";"ON"
"0032";"0001";"02";"7";"Menu: Info Services";"ON";"Off"
"0032";"0001";"03";"1";"Menu: Quick Notes";"ON";"Off"
"0032";"0001";"03";"2";"Menu: Drafts";"ON";"Off"
"0032";"0001";"03";"3";"Menu: Inbox";"ON";"Off"
"0032";"0001";"03";"5";"Menu: Outbox";"ON";"Off"
"0032";"0001";"03";"6";"Menu: Ring styles | Answering Machine";"ON";"Off"
"0032";"0001";"08";"2";"Menu: Office Tools > Voice Records";"ON";"Off"
"0032";"0001";"08";"5";"Menu: Recent Calls > Call Cost";"ON";"Off"
"0032";"0001";"09";"1";"Menu: Settings > Security > Talk Secure";"ON";"Off"
"0032";"0001";"0A";"7";"Menu: Initial Setup > Backlight > Continuous";"ON";"Off"
"0032";"0001";"0B";"0";"Menu: Phone Status > Other Information > ESN";"ON";"Off"
"0032";"0001";"0B";"2";"Menu: Mesage Setup > Service Center Number";"ON";"Off"
"0032";"0001";"0C";"1";"Menu: Smart Key";"ON";"Off"
"0032";"0001";"0C";"6";"Menu: Services";"ON";"Off"
"0032";"0001";"0D";"7";"Menu: Bluetooth";"ON";"Off"
"0032";"0001";"14";"0";"Menu: My Caller ID > All Calls";"ON";"Off"
"0032";"0001";"14";"2";"Menu: Office Tools > Dialing Services > Quick Dial";"ON";"Off"
"0032";"0001";"14";"3";"Allow Edit of Quick Dial Names";"ON";"Off"
"0032";"0001";"14";"4";"Menu: Settings > Network > Current Network";"ON";"Off"
"0032";"0001";"14";"5";"Menu: Settings > Network > New Network";"ON";"Off"
"0032";"0001";"14";"6";"Menu: Settings > Network > Network Setup";"ON";"Off"
"0032";"0001";"16";"6";"Menu: Ring Styles > Details > Roam Calls";"ON";"Off"
"0032";"0001";"18";"5";"Menu: Webaccess > Browser Setup";"ON";"Off"
"0032";"0001";"19";"3";"Menu: Webaccess > Browser Setup > Confirmation";"ON";"Off"
"0032";"0001";"19";"4";"Menu: Webaccess > Browser Setup > Cache Start-Up";"ON";"Off"
"0032";"0001";"1B";"3";"Menu: Media Center > Incoming Call";"ON";"Off"
