0032;0001;-1;1;Thanks to Poetic Folly from "ModMyMoto"
0032;0001;-1;1;Phone configuration;Core Feature Configuration Table;Off
0032;0001;00;2;Settings > Initial Setup > Auto Redial;ON;Off;
0032;0001;02;1;LOCKS THESE FEATURES: Call barring, Call transfer, Info Services, do not read VM number from SIM, Voicemail ^@ text messages, Multi-Line Support, My Network List, Manual Network Search;ON;Off;(Set to 0 to UNBLOCK these features)
0032;0001;03;1;Message > Quick Notes;ON;Off;
0032;0001;03;2;Message > Drafts;ON;Off;
0032;0001;03;3;Message > Outbox;ON;Off;
0032;0001;03;5;Message > Inbox;ON;Off;
0032;0001;04;1;Call Restriction Support;ON;Off;
0032;0001;08;5;Recent Calls > Call Cost;ON;Off;
0032;0001;09;1;Settings > Security > Talk Secure;ON;Off;
0032;0001;0A;7;Settings > Initial Setup > Backlight > Continuous;ON;Off;
0032;0001;14;5;Settings > Network > New Network;ON;Off;
0032;0001;16;6;Settings > Ring Styles > Details > Roam Calls option, special ring tone for calls received while roaming;ON;Off;
0032;0001;1B;6;Settings > Initial Setup > Auto PIN Dial;ON;Off;
0032;0001;1D;6;Settings > Initial Setup > Battery Save;ON;Off;
0032;0001;1E;7;Settings > In-Call Setup > Talk and Fax > All Calls;ON;Off;
0032;0001;1F;7;Fax Calls;ON;Off;
0032;0001;22;6;Settings > Call Divert/Forward > Fax;ON;Off;
0032;0001;2F;2;Webaccess > Web Sessions > Edit > IP1;ON;Off;
0032;0001;2F;3;Webaccess > Web Sessions > Edit > IP2;ON;Off;
0032;0001;2F;4;Webaccess > Web Sessions > Edit > CSD1;ON;Off;
0032;0001;2F;5;Webaccess > Web Sessions > Edit > CSD2;ON;Off;
0032;0001;41;5;GPRS Active Icon;ON;Off;
0032;0001;43;0;Java App Loader;ON;Off;
0032;0001;43;4;Network > Network Setup > Band;ON;Off;
0032;0001;48;4;Settings > Call Divert/Forward > Voice Calls > Conditional;ON;Off;
0032;0001;48;5;Settings > Call Divert/Forward > Voice Calls > Busy;ON;Off;
0032;0001;4F;6;Messaging > E-Mail Msgs;ON;Off;
0032;0001;50;3;"""Emergency Only"" display when network available but no roaming agreement";ON;Off;
0032;0001;50;4;"""No Service"" display when you have no service";ON;Off;
0032;0001;51;3;Alpha Tag Display;ON;Off;(1 from SIM, 0 from phone)
0032;0001;51;7;WCDMA 2100 shows in Network > Network Setup > Band;ON;Off
0032;0001;57;6;900/1800 shows in Network > Network Setup > Band;ON;Off
0032;0001;58;1;Shutdown Sound;ON;Off
0032;0001;58;3;Shutdown Sound;ON;Off
0032;0001;58;4;Shutdown Sound;ON;Off
